Rank,Rank_Spread_Upper,Rank_Spread_Lower,Model,Score,CI_95,Votes,Organization,License
1,1,1,gemini-3-pro,1324,13,2969,Google,Proprietary
2,2,3,gemini-2.5-pro,1249,7,64806,Google,Proprietary
3,2,6,chatgpt-4o-latest-20250326,1237,7,16494,OpenAI,Proprietary
4,3,13,gpt-4.5-preview-2025-02-27,1226,11,2925,OpenAI,Proprietary
5,3,14,gemini-2.5-flash-preview-09-2025,1225,11,4037,Google,Proprietary
6,3,13,gpt-5-chat,1222,8,37598,OpenAI,Proprietary
7,4,14,o3-2025-04-16,1219,7,44441,OpenAI,Proprietary
8,4,17,gpt-4.1-2025-04-14,1216,7,40504,OpenAI,Proprietary
9,4,17,gemini-2.5-flash,1214,7,39523,Google,Proprietary
10,4,24,claude-opus-4-20250514-thinking-16k,1210,15,1419,Anthropic,Proprietary
11,4,22,gpt-5-high,1209,9,31838,OpenAI,Proprietary
12,4,25,ernie-5.0-preview-1120,1206,15,1621,Baidu,Proprietary
13,4,26,claude-sonnet-4-20250514-thinking-32k,1205,16,1310,Anthropic,Proprietary
14,6,25,qwen3-vl-235b-a22b-instruct,1203,11,4263,Alibaba,Apache 2.0
15,8,24,gpt-4.1-mini-2025-04-14,1202,8,39625,OpenAI,Proprietary
16,8,24,o4-mini-2025-04-16,1202,8,40159,OpenAI,Proprietary
17,8,29,claude-3-7-sonnet-20250219-thinking-32k,1195,15,1633,Anthropic,Proprietary
18,10,29,hunyuan-vision-1.5-thinking,1193,12,2746,Tencent,Proprietary
19,10,29,o1-2024-12-17,1193,10,3694,OpenAI,Proprietary
20,10,29,qwen3-vl-235b-a22b-thinking,1191,13,2527,Alibaba,Apache 2.0
21,10,29,claude-opus-4-20250514,1189,12,2519,Anthropic,Proprietary
22,11,29,gemini-2.5-flash-lite-preview-06-17-thinking,1188,8,36883,Google,Proprietary
23,10,30,claude-sonnet-4-20250514,1187,13,2037,Anthropic,Proprietary
24,11,30,qwen-vl-max-2025-08-13,1184,12,3321,Alibaba,Proprietary
