Rank,Rank_Spread_Upper,Rank_Spread_Lower,Model,Score,CI_95,Votes,Organization,License
1,1,1,claude-opus-4-5-20251101-thinking-32k,1507,15,1868,Anthropic,Proprietary
2,2,3,gemini-3-pro,1476,10,6689,Google,Proprietary
3,2,3,claude-opus-4-5-20251101,1472,14,2144,Anthropic,Proprietary
4,4,8,gpt-5-medium,1401,12,3940,OpenAI,Proprietary
5,4,8,claude-sonnet-4-5-20250929-thinking-32k,1400,10,5954,Anthropic,Proprietary
6,4,8,gpt-5.1-medium,1396,12,3062,OpenAI,Proprietary
7,4,8,claude-opus-4-1-20250805,1393,10,5749,Anthropic,Proprietary
8,4,8,claude-sonnet-4-5-20250929,1387,9,6997,Anthropic,Proprietary
9,9,11,glm-4.6,1368,10,5539,Z.ai,MIT
10,9,12,gpt-5.1,1353,10,4991,OpenAI,Proprietary
11,9,12,kimi-k2-thinking-turbo,1352,10,4835,Moonshot,Modified MIT
12,10,12,gpt-5.1-codex,1344,11,3351,OpenAI,Proprietary
13,13,13,minimax-m2,1317,10,5511,MiniMax,Apache 2.0
14,14,16,deepseek-v3.2-exp,1295,10,5148,DeepSeek AI,MIT
15,14,16,qwen3-coder-480b-a35b-instruct,1290,10,5711,Alibaba,Apache 2.0
16,14,17,claude-haiku-4-5-20251001,1286,9,5694,Anthropic,Proprietary
17,16,18,KAT-Coder-Pro-V1,1265,15,1942,KwaiKAT,Proprietary
18,17,19,gpt-5.1-codex-mini,1253,16,1564,OpenAI,Proprietary
19,18,21,grok-4-1-fast-reasoning,1234,13,2559,xAI,Proprietary
20,19,21,gemini-2.5-pro,1214,12,3503,Google,Proprietary
21,19,21,grok-4.1-thinking,1207,19,1257,xAI,Proprietary
22,22,23,grok-4-fast-reasoning,1154,22,942,xAI,Proprietary
23,22,23,grok-code-fast-1,1145,21,1014,xAI,Proprietary
